## Tue Oct 21 20:08:25 2025
## emapper-2.1.12
## /emapper_web_jobs/home/emapper/miniforge3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_wruy_nhe --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_wruy_nhe --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_wruy_nhe/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
lcl|NZ_CM127331.1_prot_WP_014227329.1_11	571.MC52_07955	8.16e-289	787.0	COG4948@1|root,COG4948@2|Bacteria,1MURK@1224|Proteobacteria,1RPIT@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	Catalyzes the dehydration of D-galactonate to 2-keto-3- deoxy-D-galactonate	dgoD	GO:0005975,GO:0006082,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0016052,GO:0016054,GO:0019520,GO:0019583,GO:0019584,GO:0019752,GO:0032787,GO:0034192,GO:0034194,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044262,GO:0044275,GO:0044281,GO:0044282,GO:0046176,GO:0046395,GO:0071704,GO:0072329,GO:1901575	4.2.1.6	ko:K01684	ko00052,ko01100,ko01120,map00052,map01100,map01120	M00552	R03033	RC00543	ko00000,ko00001,ko00002,ko01000	-	-	iAF1260.b4478,iB21_1397.B21_03519,iBWG_1329.BWG_3382,iEC042_1314.EC042_4048,iEC55989_1330.EC55989_4161,iECBD_1354.ECBD_0011,iECB_1328.ECB_03575,iECDH10B_1368.ECDH10B_3878,iECDH1ME8569_1439.ECDH1ME8569_3579,iECD_1391.ECD_03575,iECIAI1_1343.ECIAI1_3870,iECO103_1326.ECO103_4466,iECO111_1330.ECO111_4519,iECSE_1348.ECSE_3978,iECUMN_1333.ECUMN_4223,iECW_1372.ECW_m3991,iEKO11_1354.EKO11_0011,iETEC_1333.ETEC_3982,iEcDH1_1363.EcDH1_0011,iEcE24377_1341.EcE24377A_4201,iEcSMS35_1347.EcSMS35_4057,iEcolC_1368.EcolC_0011,iJO1366.b4478,iWFL_1372.ECW_m3991,iY75_1357.Y75_RS18645	MR_MLE_C,MR_MLE_N
lcl|NZ_CM127331.1_prot_WP_071846050.1_12	1045856.EcWSU1_00012	5.66e-312	851.0	COG2271@1|root,COG2271@2|Bacteria,1MVPS@1224|Proteobacteria,1RNMV@1236|Gammaproteobacteria,3X32N@547|Enterobacter	1236|Gammaproteobacteria	G	Major facilitator superfamily	dgoT	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0015711,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0044425,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944	-	ko:K03535,ko:K08194	-	-	-	-	ko00000,ko02000	2.A.1.14.1,2.A.1.14.7	-	iECO103_1326.ECO103_4467	MFS_1
lcl|NZ_CM127331.1_prot_WP_042946145.1_13	571.MC52_07945	9.27e-315	855.0	COG0823@1|root,COG0823@2|Bacteria,1MWDT@1224|Proteobacteria,1RMFV@1236|Gammaproteobacteria	1236|Gammaproteobacteria	U	Biopolymer transporter Tol	yidR	GO:0005975,GO:0005996,GO:0006063,GO:0006082,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0016052,GO:0016054,GO:0019586,GO:0019752,GO:0032787,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0046365,GO:0046395,GO:0046397,GO:0071704,GO:0072329,GO:1901575	-	-	-	-	-	-	-	-	-	-	DUF3748,PD40
lcl|NZ_CM127331.1_prot_WP_025107564.1_14	571.MC52_07940	2.21e-72	217.0	COG5645@1|root,COG5645@2|Bacteria,1MZ8R@1224|Proteobacteria,1S9TX@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	(Lipo)protein	yidQ	GO:0006950,GO:0006974,GO:0008150,GO:0009987,GO:0033554,GO:0050896,GO:0051716	-	-	-	-	-	-	-	-	-	-	DUF1375
lcl|NZ_CM127331.1_prot_WP_004126917.1_15	571.MC52_07935	1.46e-92	270.0	COG0071@1|root,COG0071@2|Bacteria,1RH2X@1224|Proteobacteria,1S6WS@1236|Gammaproteobacteria	1236|Gammaproteobacteria	O	Associates with aggregated proteins, together with IbpB, to stabilize and protect them from irreversible denaturation and extensive proteolysis during heat shock and oxidative stress. Aggregated proteins bound to the IbpAB complex are more efficiently refolded and reactivated by the ATP-dependent chaperone systems ClpB and DnaK DnaJ GrpE. Its activity is ATP- independent	ibpA	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0042802,GO:0044424,GO:0044444,GO:0044464,GO:0050896	-	ko:K04080	-	-	-	-	ko00000,ko03110	-	-	-	HSP20
lcl|NZ_CM127331.1_prot_WP_042946144.1_16	571.MC52_07930	2.39e-98	285.0	COG0071@1|root,COG0071@2|Bacteria,1R9Z9@1224|Proteobacteria,1S23Z@1236|Gammaproteobacteria	1236|Gammaproteobacteria	O	Associates with aggregated proteins, together with IbpA, to stabilize and protect them from irreversible denaturation and extensive proteolysis during heat shock and oxidative stress. Aggregated proteins bound to the IbpAB complex are more efficiently refolded and reactivated by the ATP-dependent chaperone systems ClpB and DnaK DnaJ GrpE. Its activity is ATP- independent	ibpB	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006950,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0010035,GO:0010038,GO:0042221,GO:0042802,GO:0044424,GO:0044464,GO:0046688,GO:0050896,GO:0097501,GO:1990169	-	ko:K04081	-	-	-	-	ko00000,ko03110	-	-	-	HSP20
lcl|NZ_CM127331.1_prot_WP_004855675.1_17	571.MC52_07925	0.0	1043.0	COG2985@1|root,COG2985@2|Bacteria,1MUVM@1224|Proteobacteria,1RQY2@1236|Gammaproteobacteria	1236|Gammaproteobacteria	U	transport protein	yidE	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	ko:K07085	-	-	-	-	ko00000	2.A.81	-	-	Asp-Al_Ex,TrkA_C
lcl|NZ_CM127331.1_prot_WP_014227323.1_18	571.MC52_07920	1.38e-174	487.0	COG2188@1|root,COG2188@2|Bacteria,1MUEB@1224|Proteobacteria,1RN2J@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	transcriptional regulator	yidP	GO:0005575,GO:0005623,GO:0005886,GO:0006139,GO:0006351,GO:0006725,GO:0006807,GO:0006810,GO:0008150,GO:0008152,GO:0008643,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016020,GO:0016070,GO:0018130,GO:0019438,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044464,GO:0046483,GO:0051179,GO:0051234,GO:0071702,GO:0071704,GO:0071944,GO:0090304,GO:0097659,GO:1901360,GO:1901362,GO:1901576	-	ko:K03482,ko:K03710,ko:K11922	-	-	-	-	ko00000,ko03000	-	-	-	GntR,UTRA
lcl|NZ_CM127331.1_prot_WP_009654320.1_19	571.MC52_07915	0.0	1049.0	COG1263@1|root,COG1264@1|root,COG1263@2|Bacteria,COG1264@2|Bacteria,1MU2P@1224|Proteobacteria,1RNF4@1236|Gammaproteobacteria	1236|Gammaproteobacteria	G	PTS system	aglA	GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0008643,GO:0016020,GO:0044464,GO:0051179,GO:0051234,GO:0071702,GO:0071944	2.7.1.208	ko:K02749,ko:K02750	ko00500,ko02060,map00500,map02060	M00268	R04111	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.1.1.10,4.A.1.1.16,4.A.1.1.4,4.A.1.1.8	-	-	PTS_EIIB,PTS_EIIC
lcl|NZ_CM127331.1_prot_WP_004855669.1_20	571.MC52_07910	0.0	903.0	COG1486@1|root,COG1486@2|Bacteria,1NI6G@1224|Proteobacteria,1RYKZ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	G	6-phospho-alpha-glucosidase	aglB	-	3.2.1.122,3.2.1.86	ko:K01222,ko:K01232	ko00010,ko00500,map00010,map00500	-	R00837,R00838,R00839,R05133,R05134,R06113	RC00049,RC00171,RC00714	ko00000,ko00001,ko01000	-	GH4,GT4	-	Glyco_hydro_4,Glyco_hydro_4C
lcl|NZ_CM127331.1_prot_WP_004855665.1_21	571.MC52_07905	1.58e-72	218.0	COG2149@1|root,COG2149@2|Bacteria,1REUC@1224|Proteobacteria,1S618@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Membrane	yidH	GO:0005575,GO:0005623,GO:0005886,GO:0006950,GO:0006979,GO:0008150,GO:0016020,GO:0044464,GO:0050896,GO:0071944	-	ko:K00389	-	-	-	-	ko00000	-	-	-	DUF202
lcl|NZ_CM127331.1_prot_WP_014227322.1_22	571.MC52_07900	1.88e-80	238.0	2ATH5@1|root,31J0W@2|Bacteria,1RJVC@1224|Proteobacteria,1S5YN@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Membrane	yidG	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	-	-	-	-	-	-	-	-	-	DUF202
lcl|NZ_CM127331.1_prot_WP_042946143.1_23	571.MC52_07895	4.51e-133	376.0	COG0641@1|root,COG0641@2|Bacteria,1MX3M@1224|Proteobacteria,1S9YT@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	radical SAM domain protein	yidF	-	-	ko:K06871	-	-	-	-	ko00000	-	-	-	-
lcl|NZ_CM127331.1_prot_WP_014227321.1_24	571.MC52_07890	0.0	878.0	COG3048@1|root,COG3048@2|Bacteria,1MUJS@1224|Proteobacteria,1RNBW@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	Belongs to the serine threonine dehydratase family. DsdA subfamily	dsdA	GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006807,GO:0006950,GO:0006974,GO:0008144,GO:0008150,GO:0008152,GO:0008721,GO:0009056,GO:0009063,GO:0009069,GO:0009071,GO:0009636,GO:0009987,GO:0016054,GO:0016829,GO:0016835,GO:0016836,GO:0016840,GO:0016841,GO:0017144,GO:0019478,GO:0019752,GO:0019842,GO:0030170,GO:0033554,GO:0036088,GO:0036094,GO:0042221,GO:0042737,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046395,GO:0046416,GO:0048037,GO:0050662,GO:0050896,GO:0051410,GO:0051716,GO:0070178,GO:0070279,GO:0071704,GO:0097159,GO:0098754,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606,GO:1901698	4.3.1.18	ko:K01753	ko00260,map00260	-	R00221	RC02600	ko00000,ko00001,ko01000	-	-	iECED1_1282.ECED1_2813,iLF82_1304.LF82_0525,iNRG857_1313.NRG857_11890	PALP
lcl|NZ_CM127331.1_prot_WP_004116631.1_25	571.MC52_07885	3.13e-293	803.0	COG2610@1|root,COG2610@2|Bacteria,1MUFG@1224|Proteobacteria,1RNGE@1236|Gammaproteobacteria	1236|Gammaproteobacteria	EG	Gluconate	dsdX	GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006855,GO:0006865,GO:0006950,GO:0006974,GO:0008028,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0008643,GO:0009987,GO:0015075,GO:0015128,GO:0015144,GO:0015171,GO:0015175,GO:0015238,GO:0015318,GO:0015711,GO:0015718,GO:0015804,GO:0015849,GO:0015893,GO:0016020,GO:0016021,GO:0022857,GO:0022889,GO:0031224,GO:0031226,GO:0032329,GO:0033554,GO:0034219,GO:0034220,GO:0035429,GO:0042221,GO:0042493,GO:0042873,GO:0042879,GO:0042940,GO:0042942,GO:0042943,GO:0042945,GO:0044425,GO:0044459,GO:0044464,GO:0046942,GO:0046943,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0098655,GO:0098656,GO:1903825,GO:1905039	-	ko:K03299,ko:K13629	-	-	-	-	ko00000,ko02000	2.A.8,2.A.8.1.5	-	-	GntP_permease
lcl|NZ_CM127331.1_prot_WP_032751820.1_26	571.MC52_07880	1.44e-227	626.0	COG0583@1|root,COG0583@2|Bacteria,1MWY0@1224|Proteobacteria,1RNMN@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	transcriptional regulator	dsdC	GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:2000112,GO:2001141	-	ko:K03566,ko:K13636	ko02026,map02026	-	-	-	ko00000,ko00001,ko03000	-	-	-	HTH_1,LysR_substrate
lcl|NZ_CM127331.1_prot_WP_042946141.1_27	571.MC52_07875	6.6e-276	755.0	COG0477@1|root,COG2814@2|Bacteria,1N0VD@1224|Proteobacteria,1RN3X@1236|Gammaproteobacteria	1236|Gammaproteobacteria	EGP	Multidrug resistance protein D	emrD	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	ko:K07552,ko:K08154	-	-	-	-	ko00000,ko02000	2.A.1.2,2.A.1.2.9	-	-	MFS_1
lcl|NZ_CM127331.1_prot_WP_014227319.1_28	571.MC52_07870	1.37e-184	514.0	COG0697@1|root,COG0697@2|Bacteria,1R46X@1224|Proteobacteria,1RYTA@1236|Gammaproteobacteria	1236|Gammaproteobacteria	EG	of the drug metabolite transporter (DMT) superfamily	-	-	-	-	-	-	-	-	-	-	-	-	EamA
lcl|NZ_CM127331.1_prot_WP_004855646.1_29	571.MC52_07865	4.4e-106	305.0	COG0454@1|root,COG0454@2|Bacteria,1QUBT@1224|Proteobacteria,1T1SB@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	Acetyltransferase (GNAT) domain	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_10
